oid,kod KTS,powiat,powierzchnia,rok,TERYT,Typ powiatu,TERYT województwa,Województwo,Odpady zebrane w ciągu roku|ogółem
5,011212006000,krakowski,1230.0,2003,1206,powiat,12,małopolskie,28714.5
6,011212210000,nowosądecki,1550.0,2003,1210,powiat,12,małopolskie,18631.5
3,012414402000,bielski,457.0,2003,2402,powiat,24,śląskie,17703.3
4,012414604000,częstochowski,1519.0,2003,2404,powiat,24,śląskie,17312.5
13,030210125000,zgorzelecki,838.0,2003,0225,powiat,02,dolnośląskie,41087.1
2,060611003000,chełmski,1780.0,2003,0603,powiat,06,lubelskie,4532.0
20,012414874000,Siemianowice Śląskie,25.0,2003,2474,miasto na prawach powiatu,24,śląskie,26941.0
34,023016121000,poznański,1900.0,2003,3021,powiat,30,wielkopolskie,81534.2
26,052615204000,kielecki,2248.0,2003,2604,powiat,26,świętokrzyskie,16741.8
28,060610901000,bialski,2754.0,2003,0601,powiat,06,lubelskie,10906.9
35,061813664000,Tarnobrzeg,86.0,2003,1864,miasto na prawach powiatu,18,podkarpackie,19192.6
36,062013702000,białostocki,2985.0,2003,2002,powiat,20,podlaskie,34069.3
88,012414863000,Chorzów,34.0,2003,2463,miasto na prawach powiatu,24,śląskie,40012.5
54,042815614000,olsztyński,2840.0,2003,2814,powiat,28,warmińsko-mazurskie,22230.1
59,062013807000,łomżyński,1354.0,2003,2007,powiat,20,podlaskie,2762.9
97,012414979000,Żory,65.0,2003,2479,miasto na prawach powiatu,24,śląskie,27591.4
47,071427062000,Płock,88.0,2003,1462,miasto na prawach powiatu,14,mazowieckie,57152.4
50,042214209000,malborski,494.0,2003,2209,powiat,22,pomorskie,22069.6
222,042214361000,Gdańsk,262.0,2003,2261,miasto na prawach powiatu,22,pomorskie,142358.6
376,042214362000,Gdynia,136.0,2003,2262,miasto na prawach powiatu,22,pomorskie,83111.0
223,042214364000,Sopot,17.0,2003,2264,miasto na prawach powiatu,22,pomorskie,21402.1
362,071427164000,Siedlce,32.0,2003,1464,miasto na prawach powiatu,14,mazowieckie,30473.9
115,020811462000,Zielona Góra,58.0,2003,0862,miasto na prawach powiatu,08,lubuskie,41701.9
52,042815518000,gołdapski,772.0,2003,2818,powiat,28,warmińsko-mazurskie,4568.7
238,042815519000,węgorzewski,693.0,2003,2819,powiat,28,warmińsko-mazurskie,7426.5
53,042815611000,nidzicki,961.0,2003,2811,powiat,28,warmińsko-mazurskie,5333.9
197,040410663000,Toruń,116.0,2003,0463,miasto na prawach powiatu,04,kujawsko-pomorskie,71668.6
57,052615211000,starachowicki,524.0,2003,2611,powiat,26,świętokrzyskie,17394.4
366,052615261000,Kielce,109.0,2003,2661,miasto na prawach powiatu,26,świętokrzyskie,61522.1
273,052615303000,kazimierski,422.0,2003,2603,powiat,26,świętokrzyskie,1493.0
282,060610961000,Biała Podlaska,49.0,2003,0661,miasto na prawach powiatu,06,lubelskie,16245.8
289,060611062000,Chełm,35.0,2003,0662,miasto na prawach powiatu,06,lubelskie,14422.1
8,060611064000,Zamość,30.0,2003,0664,miasto na prawach powiatu,06,lubelskie,30478.7
62,071412917000,otwocki,615.0,2003,1417,powiat,14,mazowieckie,31526.3
232,012414571000,Piekary Śląskie,40.0,2003,2471,miasto na prawach powiatu,24,śląskie,19964.5
344,071422537000,żuromiński,805.0,2003,1437,powiat,14,mazowieckie,4095.8
354,071422730000,szydłowiecki,469.0,2003,1430,powiat,14,mazowieckie,7099.0
260,020811409000,zielonogórski,1571.0,2003,0809,powiat,08,lubuskie,15906.2
271,023015761000,Kalisz,70.0,2003,3061,miasto na prawach powiatu,30,wielkopolskie,33481.6
298,023216309000,koszaliński,1669.0,2003,3209,powiat,32,zachodniopomorskie,13657.7
371,071422763000,Radom,112.0,2003,1463,miasto na prawach powiatu,14,mazowieckie,60842.5
377,042214163000,Słupsk,43.0,2003,2263,miasto na prawach powiatu,22,pomorskie,38464.3
17,011212404000,dąbrowski,530.0,2003,1204,powiat,12,małopolskie,4254.7
374,011212416000,tarnowski,1414.0,2003,1216,powiat,12,małopolskie,13378.3
7,011212463000,Tarnów,72.0,2003,1263,miasto na prawach powiatu,12,małopolskie,39276.1
226,011216917000,tatrzański,472.0,2003,1217,powiat,12,małopolskie,21311.6
236,012414766000,Gliwice,134.0,2003,2466,miasto na prawach powiatu,24,śląskie,65710.7
87,012414778000,Zabrze,80.0,2003,2478,miasto na prawach powiatu,24,śląskie,51998.5
352,031613209000,opolski,1587.0,2003,1609,powiat,16,opolskie,29419.6
368,062013761000,Białystok,94.0,2003,2061,miasto na prawach powiatu,20,podlaskie,139842.9
89,012414869000,Katowice,164.0,2003,2469,miasto na prawach powiatu,24,śląskie,120340.3
90,012414870000,Mysłowice,66.0,2003,2470,miasto na prawach powiatu,24,śląskie,26022.6
91,012414872000,Ruda Śląska,78.0,2003,2472,miasto na prawach powiatu,24,śląskie,58277.0
21,012414876000,Świętochłowice,13.0,2003,2476,miasto na prawach powiatu,24,śląskie,21893.2
64,011212001000,bocheński,631.0,2003,1201,powiat,12,małopolskie,11547.8
95,012414967000,Jastrzębie-Zdrój,85.0,2003,2467,miasto na prawach powiatu,24,śląskie,35251.7
65,011212008000,miechowski,677.0,2003,1208,powiat,12,małopolskie,4889.3
96,012414973000,Rybnik,148.0,2003,2473,miasto na prawach powiatu,24,śląskie,49633.0
66,011212009000,myślenicki,673.0,2003,1209,powiat,12,małopolskie,10805.2
23,012415065000,Dąbrowa Górnicza,188.0,2003,2465,miasto na prawach powiatu,24,śląskie,44041.8
67,011212014000,proszowicki,414.0,2003,1214,powiat,12,małopolskie,4088.1
100,012415068000,Jaworzno,152.0,2003,2468,miasto na prawach powiatu,24,śląskie,43816.6
68,011212019000,wielicki,428.0,2003,1219,powiat,12,małopolskie,26669.9
214,011212161000,Kraków,327.0,2003,1261,miasto na prawach powiatu,12,małopolskie,221439.6
69,011212205000,gorlicki,967.0,2003,1205,powiat,12,małopolskie,17391.2
101,012415075000,Sosnowiec,91.0,2003,2475,miasto na prawach powiatu,24,śląskie,54722.4
70,011212207000,limanowski,952.0,2003,1207,powiat,12,małopolskie,9061.7
375,011212262000,Nowy Sącz,57.0,2003,1262,miasto na prawach powiatu,12,małopolskie,25381.7
71,011212303000,chrzanowski,371.0,2003,1203,powiat,12,małopolskie,27504.1
24,012415108000,mikołowski,232.0,2003,2408,powiat,24,śląskie,25475.8
72,011212312000,olkuski,622.0,2003,1212,powiat,12,małopolskie,33161.1
246,012415114000,bieruńsko-lędziński,157.0,2003,2414,powiat,24,śląskie,12379.5
73,011212313000,oświęcimski,406.0,2003,1213,powiat,12,małopolskie,33667.4
103,012415177000,Tychy,82.0,2003,2477,miasto na prawach powiatu,24,śląskie,43742.8
74,011212318000,wadowicki,646.0,2003,1218,powiat,12,małopolskie,20402.7
25,020811361000,Gorzów Wielkopolski,86.0,2003,0861,miasto na prawach powiatu,08,lubuskie,53080.6
75,011212402000,brzeski,590.0,2003,1202,powiat,12,małopolskie,7987.2
76,011216911000,nowotarski,1475.0,2003,1211,powiat,12,małopolskie,19207.0
77,011216915000,suski,686.0,2003,1215,powiat,12,małopolskie,8204.7
78,012414403000,cieszyński,730.0,2003,2403,powiat,24,śląskie,32569.2
79,012414417000,żywiecki,1040.0,2003,2417,powiat,24,śląskie,23661.0
80,012414461000,Bielsko-Biała,125.0,2003,2461,miasto na prawach powiatu,24,śląskie,54406.1
81,012414507000,lubliniecki,822.0,2003,2407,powiat,24,śląskie,12633.1
82,012414513000,tarnogórski,643.0,2003,2413,powiat,24,śląskie,40087.8
10,012414562000,Bytom,69.0,2003,2462,miasto na prawach powiatu,24,śląskie,55757.4
83,012414606000,kłobucki,889.0,2003,2406,powiat,24,śląskie,7072.5
84,012414609000,myszkowski,479.0,2003,2409,powiat,24,śląskie,30370.7
