Nazwa;dolnoœl¹skie;kujawsko-pomorskie;lubelskie;lubuskie;³ódzkie;ma³opolskie;mazowieckie;opolskie;podkarpackie;podlaskie;pomorskie;œl¹skie;œwiêtokrzyskie;warmiñsko-mazurskie;wielkopolskie;zachodniopomorskie
;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021
;[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba]
DOLNOŒL¥SKIE;0;170;159;748;308;453;868;792;244;83;367;594;104;123;1 064;381
KUJAWSKO-POMORSKIE;272;0;68;99;220;172;1 265;41;65;50;1 569;201;43;308;1 596;354
LUBELSKIE;418;89;0;70;171;710;4 579;67;742;103;373;348;152;106;278;136
LUBUSKIE;1 030;91;39;0;50;125;285;89;52;30;158;136;12;36;1 165;596
£ÓDZKIE;887;221;104;83;0;365;2 271;192;99;72;430;636;213;122;728;166
MA£OPOLSKIE;452;94;163;68;174;0;1 025;120;951;52;315;1 998;512;74;171;170
MAZOWIECKIE;604;729;1 316;135;1 096;674;0;78;370;796;1 172;611;568;1 044;558;305
OPOLSKIE;1 469;33;38;49;160;204;246;0;61;21;101;765;34;37;161;60
PODKARPACKIE;443;52;487;47;115;2 477;1 070;75;0;43;163;457;291;66;127;98
PODLASKIE;129;63;103;22;74;127;2 029;19;55;0;343;90;20;616;109;45
POMORSKIE;266;727;114;107;102;204;849;36;102;104;0;193;51;707;397;691
ŒL¥SKIE;1 381;275;272;156;732;3 001;1 457;929;472;95;544;0;584;220;395;349
ŒWIÊTOKRZYSKIE;284;47;209;36;276;1 357;1 621;32;367;29;126;524;0;35;123;82
WARMIÑSKO-MAZURSKIE;204;468;80;56;125;131;1 716;37;73;582;2 082;144;31;0;225;146
WIELKOPOLSKIE;1 472;781;73;602;569;248;869;129;100;57;491;287;73;108;0;659
ZACHODNIOPOMORSKIE;452;279;96;548;135;203;740;39;61;70;1 007;188;39;107;1 220;0
